NASA Outgassing Database
source: http://outgassing.nasa.gov
data last updated: 03/29/2013

sample_id	data_ref	mfgr_code	tml	vcm	wvr	time1	temp1	atm1	time2	temp2	atm2	time3	temp3	atm3	time4	temp4	atm4	appl_code
SCOTT PYRELL FOAM POLYURETHANE GRAY FLAME RETARD	GSFC4274	SCT	1.18	0.37		8H	120	AIR										FOAM
SCOTT PYRELL FOAM POLYURETHANE GRAY FLAME RETARD	GSFC4276	SCT	1.22	0.44		24H	120	AIR										FOAM
SCRIM 15413/10 NATURAL POLYESTER RESIN FINISH MESH	GSC20776	SST	0.24	0.10	0.02													SCRIM
SE 4401 SILICONE ELASTOMER GRAY SHORE A40	GSFC7376	GEC	0.15	0.05	0.00	10M	166	PSI	7H	210	E-1							MOLD CPND
SE 4401 U GENERAL PURPOSE SILICONE	GSFC0074	GEC	0.06	0.00		24H	249	AIR										MOLD CPND
SE 4404 U GENERAL PURPOSE SILICONE	GSFC0071	GEC	0.10	0.00		24H	249	AIR										MOLD CPND
SE 4524U CLEAR SILICONE	GSC10068	GEC	0.10	0.01	0.07	25M	163	AIR	7H	200	E-6							MOLD CPND
SE 4524U CLEAR SILICONE	GSC10071	GEC	0.07	0.00	0.04	25M	163	AIR	7H	200	E-6	24H	216	AIR				MOLD CPND
SE 456/TS-50 SILICONE - TAN	GSFC8501	GEC	0.10	0.01	0.02	16H	238	AIR										MOLD CPND
SE 456/TS-50 SILICONE - TAN	GSFC8555	GEC	0.22	0.07	0.03	4H	204	AIR										MOLD CPND
SE 456/TS-50 SILICONE - TAN	GSFC8558	GEC	0.17	0.02	0.06	8H	238	AIR										MOLD CPND
SE 456/TS-50 SILICONE - TAN	GSFC8609	GEC	0.11	0.00	0.01	12H	238	AIR										MOLD CPND
SE 5204 SILICONE	GSFC4596	GEC	0.07	0.00		8H	232	AIR										ELASTOMER
SE 5211 U LOW TEMP SILICONE	GSFC0077	GEC	0.08	0.02		4H	249	AIR										GASKET
SE 5403 U	GSFC0066	GEC	0.10	0.02		3H	204	AIR										SILICONE
SE 5554U SILICONE FOOD GRADE FF	GSC10185	GEC	0.16	0.00	0.03	30M	163	PSI	15H	200	E-6							MOLD CPND
SE 5554U SILICONE FOOD GRADE GG	GSC10182	GEC	0.25	0.00	0.07	30M	163	PSI	15H	121	E-6							MOLD CPND
SE 557/VAROX AS 100/0.3 BW GRAY SILICONE	GSFC8219	GEC	0.09	0.02	0.02	4M	188	AIR	2H	177	AIR	16H	249	AIR				SEAL
SE 557/VAROX AS 100/0.3 BW GRAY SILICONE	GSFC8222	GEC	0.08	0.02	0.02	4M	188	AIR	2H	177	AIR	24H	249	AIR				SEAL
SE 565/VAROX AS 100/0.6 BW EXTREME LOW TEMP SILICONE	GSFC3925	GEC	0.25	0.12		2H	177	AIR	5D	177	AIR							MOLD CPND
SE 565/VAROX AS 100/0.6 BW EXTREME LOW TEMP SILICONE	GSFC3927	GEC	0.12	0.03		2H	177	AIR	48H	177	E-6							MOLD CPND
SE 565/VAROX AS 100/0.6 BW EXTREME LOW TEMP SILICONE	GSFC3929	GEC	0.08	0.00		2H	177	AIR	5D	177	E-6							MOLD CPND
SE 7501 U TAN SILICONE MOLDED CONN INSUL	GSC20583	GEC	0.08	0.00	0.01	24H	125	AIR	4H	100	E-6							CONN INSUL
SE 875 TRANSLUCENT SILICONE	GSC16703	GEC	0.29	0.09	0.01	15M	177	PSI	4H	204	AIR							MOLD CPND
SE 9025 SILICONE WIRE INSUL BLACK	GSFC3858	GEC	1.38	0.61		3H	204	AIR										WIRE INSUL
SE 9025 SILICONE WIRE INSULATION	GSFC3744	GEC	3.32	0.58														WIRE INSUL
SE 9025 SILICONE WIRE INSULATION RERUN GSFC3744	GSFC3793	GEC	0.16	0.03		24H	125	E-7										WIRE INSUL
SE 9045 SILICONE WIRE INSULATION - OUTER	GSFC2119	GEC	1.37	0.51														WIRE INSUL
SE 9090 SILICONE WIRE INSULATION	GSFC4520	HAV	4.12	1.01														WIRE INSUL
SEAL-O-BOND HOT MELT ADHESIVE	GSC16956	EAS	2.95	1.12	0.00													ADHESIVE
SECO BLACK BAGGING MATERIAL	GSC29005	SEO	0.17	0.04	0.00													BAGGING MATERIAL
SECUR-A-TIE CABLE TIE NYLON	GSFC5853	DNN	2.88	0.01														CABLE TIE
SEGMENTED TUBING, P/N 55000228, STESS RELEASE TUBING RIBBON FIBER	GSC29470	RCO	0.37	0.04	0.13													BEND RADIUS CONTROL
SELECTILUX HTR-3-100 PHOTOSENSE POLYIMIDE COATING	GSC19257	CIB	0.74	0.01	0.73	1H	300	AIR										COATING-MASK
SELECTILUX HTR-3-100 PHOTOSENSE POLYIMIDE COATING	GSC19276	CIB	0.79	0.01	0.66	2H	300	AIR										COATING-MASK
SEMITRON ESD 225 ACETAL	GSC30064	BDK	1.40	0.07	1.12													CLAMP
SEMKIT SF653K825AS EPOXY FSN 8040-00-916-9847	GSFC8651	PRC	4.86	0.01	0.24	5D	25	AIR										ADHESIVE
SEN POLYETHER FOAM/FLAME RETARDANT	GSC14100	BUR	12.93	5.93	0.00													FOAM
SENTRY SEAL RED MARKING INK	GSFC4302	INK	6.33	0.79		7D	25	AIR										MARKING INK
SERIES 24 ANTI STATIC FILM - BLACK	GSC15282	CHR	0.13	0.00	0.03													ANTI STATIC FILM
SF 1006 NYLON 12/GLASS AS 70/30	GSFC2891	LNP	0.65	0.01														MOLD CPND
SF-14.0 MAGNETIC RADAR ABSORBER	GSC19051	AAP	0.47	0.23	0.00													ABSORBER
SF-15.0 MAGNETIC RADAR ABSORBER	GSC19221	AAP	0.48	0.16	0.00													ABSORBER
SFR 60-60W WHITE SILICONE	GSC13410	SFR	1.91	0.39	0.20													CUSHION
SFR 60-60W WHITE SILICONE	GSC13413	SFR	0.43	0.11	0.17	6H	204	AIR										CUSHION
SFR 60-694W WHITE SILICONE	GSC13416	SFR	3.94	0.85	0.01													CUSHION
SFR 60-694W WHITE SILICONE	GSC13419	SFR	0.64	0.13	0.00	6H	204	AIR										CUSHION
SG 840 RSC FIBER OPTIC CABLE	GSC13966	SPS	2.27	0.70	0.55													FIBER OPTIC
SGC21/PSW PRIMER WHITE THERM CONTROL PAINT/F	GSC19887	MAP	0.45	0.10	0.00	7D	25	AIR										PAINT
SH 2X2-2.5 HEATER - RED SILICONE	GSFC6676	EFH	0.08	0.03	0.03													HEATER
SH 3/4X5 HEATER - RED SILICONE	GSFC6828	EFH	0.12	0.01	0.01													HEATER
SH 321 SHRINK TUBING BLACK	GSC20833	DAD	0.83	0.12	0.07	10M	100	AIR										SHRINK TUBING
SHAPAL M CERAMIC	GSC32737	GFC	0.01	0.00	0.00													CERAMIC
SHARPIE BLACK PERMANENT MARKER/F	GSC17774	SAN	20.14	2.26	0.01	24H	25	AIR										MARKING INK
SHARPIE MARKER	GSC28372	SAN	21.39	5.20	0.29													INK
SHARPIE MARKER INK, BLACK, ULTRA FINEPOINT	GSC29431	SAN	13.90	5.66	0.13	8H	85	AIR										MARKING INK
SHARPIE RED PERMANENT MARKER/F	GSC17776	SAN	16.69	1.12	0.01	24H	25	AIR										MARKING INK
SHELDAHL 1 MIL VDA/AOC (ACRYLIC OVERCOAT) P/N 146570	GSC29215	GTS	0.87	0.03	0.37													TAPE
SHELDAHL 3PM ADH FILM CLEAR AMBER	GSC21397	GTS	0.74	0.06	0.36													ADHESIVE
SHELDAHL 7-G410850-040 AL KAPTON/Y-966 ADH/F	GSC19647	GTS	0.89	0.02	0.80													TAPE
SHELDAHL G401100 KAPTON TAPE	GSC32605	GTS	0.84	0.00	0.57													FILM
SHELDAHL TAPE GOLD G407910 W SILICONE ADHESIVE	GSC23179	GTS	1.68	0.56	0.56	192H	82	AIR										TAPE
SHELDAHL TAPE GOLD G407910 W SILICONE ADHESIVE/F	GSC23149	GTS	1.76	0.52	0.50	192H	82	AIR										TAPE
SHERWIN WILLIAMS PROMAR400 INTERIOR LATEX FLAT BLACK(B30W400)	GSC28966	SHW	0.54	0.06	0.10	24H	25	AIR										PAINT
SHIELDING TAPE COPPER/POLYESTER LAMINATE 47A214555PL	GSC24378	TAP	0.22	0.03	0.07													SHEILD
SHIMADZU SUPPLIED BLUE SEPTUM PLUG	GSC28558	SHZ	0.07	0.01	0.04													PART FOR GC/MS
SHIN ETSU KJO-9022E, SILICONE ADHESIVE, LOT 209044, EXP 4/8/13	GSC33667	SHN	0.12	0.07	0.01	24H 	25	AIR	24H	125	AIR	72H	125	E-5				ADHESIVE
SHIN ETSU KJR9022E SILICONE LOT 109043 EXPIRES 23 APRIL 2012	GSC33070	SHN	0.13	0.03	0.07	24H	25	AIR	24H	125	AIR	72H	125	E-6				ADHESIVE
SHIN ETSU KJR9022E SILICONE, LOT NUMBER 001041, EXP 7/17/2010	GSC31909	SET	0.21	0.10	0.01	24H	25	AIR	24H	125	AIR	72H	125	E-7				ADHESIVE
SHIN ETSU KJR9022E SILICONE, LOT NUMBER 001041, EXP 7/17/2010	GSC31960	SET	0.14	0.07	0.00	24H	25	AIR	24H	125	AIR	72H	125	E-7				ADHESIVE
SHIN-ETSU KE 5570 U SILICONE ELASTOMER BAKED OUT	GSC33067	SHN	0.51	0.25	0.07	16H	200	AIR										VIBRATION ISOLATOR
SHIN-ETSU KE 5570 U SILICONE ELASTOMER NO BAKE	GSC33064	SHN	2.51	0.72	0.07													VIBRATION ISOLATOR
SHIN-ETSU KJR9022 SILICONE, LOT # 001040, EXPIRES 12-27-2010	GSC32329	SHN	0.20	0.08	0.00	24H	25	AIR	24H	125	AIR	72H	125	E-7				ADHESIVE
SHIN-ETSU KJR9022E SILICINE, LOT # 907040 - VERY THIN SECTIONS	GSC31732	SET	0.22	0.10	0.00	24H	25	AIR	24H	125	AIR	72H	125	E-5				ADHESIVE
SHIN-ETSU KJR9022E SILICINE, LOT # 907040 - VERY THIN SECTIONS	GSC31765	SET	0.14	0.07	0.00													ADHESIVE
SHIN-ETSU KJR9022E SILICINE, LOT # 907040-EXP 2/9/10-VERY THIN SECTIONS	GSC31846	SET	0.12	0.05	0.00	24H	25	AIR	24	125	AIR	24	125	E-7	24H	125	E-5	ADHESIVE
SHIN-ETSU KJR9022E SILICONE -  THICK SAMPLE	GSC31600	SHN	0.50	0.23	0.01	24H	125	AIR	72H	125	E-6							ADHESIVE
SHIN-ETSU KJR9022E SILICONE -  THIN SAMPLE	GSC31603	SHN	0.10	0.01	0.01	24H	125	AIR	72H	125	E-6							ADHESIVE
SHIN-ETSU KJR9022E SILICONE, LOT NUMBER 001041, EXPIRES 12-27-10	GSC32185	SET	0.24	0.12	0.00	24H	25	AIR	24H	125	AIR	72H	125	E-7				ADHESIVE
SHIN-ETSU KJR9022E SILICONE, LOT NUMBER 011042, EXPIRES JULY 4, 2011	GSC32512	SET	0.25	0.05	0.01	24H	25	AIR	24H	125	AIR	72H	125	E-6				ADHESIVE
SHIN-ETSU KKJR9022E SILICONE, LOT#012042, EXP 11/09/11	GSC32740	SHN	0.12	0.06	0.00	24H	25	AIR	24H	125								ADHESIVE
SHRINK TUBE PER M23053/5 - NO INK PRE SHRUNK	GSC33379	ZZZ	0.76	0.10	0.12													SHRINK TUBING
SHRINK TUBE PER M23053/5 - WITH SC-043 SCANTRACKER INK - NOT SHRUNK	GSC33385	ZZZ	0.50	0.05	0.04													SHRINK TUBING
SHRINK TUBE PER M23053/5 - WITH SC-043 SCANTRACKER INK- PRE SHRUNK	GSC33382	ZZZ	0.74	0.10	0.12													SHRINK TUBING
SHRINK TUBE RNF 100 WHT M23053/S-103-9	GSC23359	RCC	0.43	0.08	0.03	20M	125	AIR										SHRINK TUBING
SHRINK TUBE RNF100 POLYOLEFIN-HEAT GUN	GSC22699	RCC	0.65	0.11	0.01													SHRINK TUBE
SHRINK TUBING (POLYVINYLIDENE FLUORIDE HOMOPOLYMER) M23053/8-002-C	GSC31249	SWT	0.26	0.00	0.03													TUBING
SHRINK TUBING (SHRUNK), P/N MFT-RW-175-#.33-X-STK	GSC29059	TYO	0.47	0.08	0.02													SHRINK TUBING
SHRINK TUBING (SHRUNK), P/NCRN-1/2-X-STK	GSC29062	TYO	0.47	0.10	0.01													SHRINK TUBING
SHRINK TUBING ALPHA TFT-200 TEFLON-HEAT GUN	GSC22900	AEW	0.00	0.00	0.00													SHRINK TUBING
SHRINK TUBING BLACK FROM CABLE BRAND REX	GSC12742	BRX	2.62	1.22	0.04													SHRINK TUBING
SHRINK TUBING BLACK M23053/5-105-0 HEAT GUN SHRINK	GSC20884	MMM	0.78	0.10	0.08	12H	25	E-6										SHRINK TUBING
SHRINK TUBING BLACK STUB 2 (S2) BUS IN (B1)	GSC24726	ZZZ	0.41	0.02	0.14													SHRINK TUBING
SHRINK TUBING CLEAR KYNAR M23053/8004-C STRANCO	GSC26497	STR	0.25	0.05	0.02													SHRINK TUBING
SHRINK TUBING CLEAR RNF100 POLYOLEFIN-HEAT GUN	GSC22387	MMM	1.10	0.22	0.02													SHRINK TUBING
SHRINK TUBING GREEN MAX SHRINK-HEAT GUN	GSFC5631	AMI	0.66	0.29														SHRINK TUBING
SHRINK TUBING KYNAR CLEAR MIL-I-23053D/8-004-C	GSC26494	SUM	0.62	0.13	0.02													SHRINK TUBING
SHRINK TUBING KYNAR M23053/8 HEAT GUN SHRUNK	GSC26032	RCC	0.07	0.01	0.03	24H	120	E-3										SHRINK TUBING
SHRINK TUBING KYNAR M23053/8 HEAT GUN SHRUNK	GSC26035	RCC	0.08	0.01	0.03	24H	150	E-3										SHRINK TUBING
SHRINK TUBING MIL-LTL3/64/0 BLACK UNSHRUNK	GSC27280	RCC	0.95	0.13	0.11													SHRINK TUBING
SHRINK TUBING MIL-LT-WHT M23053/S-120/302-9	GSC23176	RCC	1.15	0.09	0.76	1M	125	AIR										SHRINK TUBING
SHRINK TUBING MIL-LT-WHT M23053/S-120/302-9	GSC23205	RCC	0.85	0.18	0.10	15M	125	AIR										SHRINK TUBING
SHRINK TUBING PVF MIL I23053/8 CLEAR	GSC22333	MMM	0.28	0.06	0.04	3M	200	AIR										SHRINK TUBING
SHRINK TUBING RNF100 POLYOLEFIN CLEAR-HEAT GUN	GSC22624	RCC	0.46	0.05	0.02													SHRINK TUBE
SHRINK TUBING RNF100 POLYOLEFIN CLEAR-HEAT GUN ISO	GSC22627	RCC	0.63	0.13	0.02													SHRINK TUBE
SHRINK TUBING RNF100 POLYOLEFIN CLEAR-HEAT GUN ISO	GSC22660	RCC	0.60	0.14	0.02													SHRINK TUBE
SHRINK TUBING SKINTIGHT POLYESTER UNSHRUNK	GSC23502	GIL	0.32	0.03	0.22													SHRINK TUBING
SHRINK TUBING SKINTIGHT POLYESTER-HEAT GUN	GSC23505	GIL	0.36	0.05	0.21													SHRINK TUBING
SHRINK TUBING SUMIMARK SM12 TUBING MIL-I-23053/5	GSC23985	SUM	0.81	0.08	0.16													SHRINK TUBING
SHRINK TUBING SUMITUBE K3 KYNAR CLEAR	GSC23511	SUM	0.53	0.12	0.02	3M	90	AIR										SHRINK TUBING
SHRINK TUBING WHITE FROM CABLE PIRELLI	GSC12745	PIR	1.70	0.54	0.04													SHRINK TUBING
SHRINKABLE MARKING SLEEVE (SHRUNK) P/N HT-SCE-1K-1/4-2.0-9	GSC29053	TYO	0.25	0.01	0.05													SHRINK TUBING
SHRINKABLE MARKING SLEEVE (SHRUNK) P/N TMS-SCE-1/4-2.0-9	GSC29050	TYO	0.79	0.15	0.13													SHRINK TUBING
SHRINKABLE SLEEVE (SHRUNK) P/N RNF-100-3/8-CL-SP	GSC29056	TYO	0.99	0.20	0.02													SHRINK TUBING
SHRINK-TAG THS-610WP/THS-620WP WHITE HEAT GUN SHRINK	GSC19450	TYT	0.73	0.06	0.18													WIRE MARKER
SHUR TAPE FP202 HI STRENGTH PAPER/ACRYLIC ADH/F	GSC22027	SHU	4.44	0.67	2.63													TAPE
SHUR-LOK SLE 3007 EPOXY - GRAY	GSFC4422	SLK	0.32	0.00		12H	25	AIR	8H	65	AIR	8H	121	AIR				POTTING
SHUR-LOK SLE 3009 EPOXY - GREEN	GSFC4424	SLK	1.20	0.18		12H	25	AIR	8H	65	AIR	8H	121	AIR				POTTING
SHUR-LOK SLE 3010 EPOXY POTTING CPND	GSFC3596	SLK	1.22	0.04		72H	25	AIR										POTTING
SHUR-LOK SLE 3010 SYNTACTIC FOAM BLUE-GREEN	GSFC4450	SLK	0.77	0.03		16H	25	AIR	8H	65	AIR	8H	121	AIR				FOAM
SHUR-LOK SLE 3015 SYNTACTIC FOAM GREEN	GSFC4452	SLK	1.13	0.19		12H	25	AIR	8H	65	AIR	8H	121	AIR				FOAM
SIC 9030/GREEN BINDER/C-240 GRIT	GSC11503	GSD	0.24	0.01	0.03													DIELECTRIC
SICON 3X258 LEAFING ALUMINUM	GSC11396	MID	4.02	1.15	0.10	3H	71	AIR										PAINT
SICON 3X258 LEAFING ALUMINUM	GSC11543	MID	0.72	0.17	0.00	48H	25	AIR	48H	99	AIR							PAINT
SICON 3X258 LEAFING ALUMINUM	GSC11545	MID	0.70	0.11	0.00	48H	25	AIR	96H	71	E-3							PAINT
SICON 3X258 LEAFING ALUMINUM	GSC11639	MID	0.79	0.09	0.07	48H	25	AIR	8D	71	E-3							PAINT
SICON BLACK 7X9055 SILICONE	GSFC1102	DEX	6.04	0.36		24H	25	AIR										PAINT
SICON BLACK 7X9055 SILICONE	GSFC1105	MID	0.98	0.04		30M	177	AIR										PAINT
SICON BLACK 7X933/S744 AS 4/1 BV	GSFC2995	MID	1.39	0.62		30M	204	AIR										PAINT
SICON R 8X929 BLACK PAINT	GSFC3133	MID	0.05	0.00		15M	510	AIR										PAINT
SIGRAFLEX GRAPHITE FOIL	GSC17508	AMH	0.48	0.00	0.00													THERM GASKET
SIKAFLEX 552	GSC32422	SKC	17.43	10.47	0.35													CLEANROOM SEALANT
SIL PAD K-10 THERMAL COND SHEET  - TAN	GSC23757	BER	1.04	0.15	0.20													THERM COND
SIL6004 GREEN SILICONE ISOLATION DAMPER	GSC19675	BAR	0.19	0.08	0.03	12H	149	AIR	24H	204	AIR							DAMPER
SIL6015 GREEN SILICONE ISOLATION DAMPER	GSC19677	BAR	0.15	0.04	0.05	12H	149	AIR	24H	204	AIR							DAMPER
SILASTIC 140	GSFC0761	DCC	1.38	0.22		24H	25	AIR										ADH-SEALANT
SILASTIC 1410 SHRINKABLE TUBING - PRESHRUNK	GSFC0788	DCC	0.56	0.15														SHRINK TUBING
SILASTIC 1603 WHITE SILICONE	GSC17079	DCC	1.94	0.53	0.06													MOLD CPND
SILASTIC 1603 WHITE SILICONE WIRE INSULATION	GSC18388	DCC	0.96	0.42	0.00	4H	200	AIR										WIRE INSUL
SILASTIC 2000U TRANSLUCENT GROMMET	GSC11505	DCC	1.27	0.34	0.03													MOLD CPND
SILASTIC 35	GSC19486	DCC	1.87	0.61	0.06	21D	200	AIR										MOLD CPND
SILASTIC 35	GSC19649	DCC	0.09	0.01	0.03	21D	200	AIR	24H	250	E-5							MOLD CPND
SILASTIC 35	GSC19959	DCC	0.07	0.00	0.03	24H	200	E-3										MOLD CPND
SILASTIC 35	GSC19962	DCC	0.06	0.00	0.03	48H	200	E-3										MOLD CPND
SILASTIC 35	GSFC0063	DCC	0.14	0.06		24H	249	AIR										SILICONE
SILASTIC 595-HC A/B AS 1/1 PBW TRANSLUCENT SILICONE	GSC20154	DCC	1.87	0.44	0.07	10M	149	AIR										INJ MOLD CPND
SILASTIC 6508/TS-50 CADOX AS 99/1 BW SILICONE	GSFC4822	DCC	0.80	0.18		5M	116	AIR	90M	216	AIR							MOLD CPND
SILASTIC 6508/TS-50 CADOX AS 99/1 BW SILICONE	GSFC4826	DCC	0.20	0.06		5M	116	AIR	90M	216	AIR	24H	121	E-3				MOLD CPND
SILASTIC 675 SILICONE	GSFC2509	DCC	0.41	0.04		5M	116	PSI	24H	250	AIR							SEAL-GASKET
SILASTIC 68-110 A/B AS 25/1 BW	GSFC0824	DCC	1.23	0.26		24H	25	AIR										SILICONE
SILASTIC 68-110 A/B AS 25/1 BW	GSFC0845	DCC	1.15	0.35		150H	25	AIR										SILICONE
SILASTIC 68-120 A/B AS 25/1 BW	GSFC0836	DCC	0.84	0.25		24H	25	AIR										SILICONE
SILASTIC 68-120 A/B AS 25/1 BW	GSFC0866	DCC	0.88	0.25		150H	25	AIR										SILICONE
SILASTIC 68-210 A/B AS 25/1 BW	GSFC0833	DCC	1.22	0.24		24H	25	AIR										SILICONE
SILASTIC 68-210 A/B AS 25/1 BW	GSFC0863	DCC	1.24	0.38		150H	25	AIR										SILICONE
SILASTIC 68-220 A/B AS 25/1 BW	GSFC0812	DCC	0.91	0.16		24H	25	AIR										SILICONE
SILASTIC 68-220 A/B AS 25/1 BW	GSFC0851	DCC	1.03	0.18		150H	25	AIR										SILICONE
SILASTIC 68-310 A/B AS 25/1 BW	GSFC0821	DCC	1.56	0.25		24H	25	AIR										SILICONE
SILASTIC 68-310 A/B AS 25/1 BW	GSFC0848	DCC	1.24	0.33		150H	25	AIR										SILICONE
SILASTIC 68-320 A/B AS 25/1 BW	GSFC0893	DCC	1.64	0.32		24H	25	AIR										SILICONE
SILASTIC 68-330 A/B AS 25/1 BW	GSFC0890	DCC	1.29	0.28		24H	25	AIR										SILICONE
SILASTIC 69-210 A/B AS 10/1 BW	GSFC0818	DCC	1.02	0.24		24H	25	AIR										SILICONE
SILASTIC 69-210 A/B AS 10/1 BW	GSFC0854	DCC	1.04	0.26		150H	25	AIR										SILICONE
SILASTIC 69-210 LOT EU 103007	GSFC5463	DCC	0.80	0.27														COATING
SILASTIC 69-210 LOT EU 103007	GSFC5489	DCC	0.02	0.00		16H	250	AIR										COATING
SILASTIC 69-220 A/B AS 25/1 BW	GSFC0827	DCC	1.16	0.28		24H	25	AIR										SILICONE
SILASTIC 69-220 A/B AS 25/1 BW	GSFC0860	DCC	1.31	0.25		150H	25	AIR										SILICONE
SILASTIC 69-220 A/B/910 DILUENT AS 25/1/1.3 BW	GSFC7670	DCC	1.38	0.40	0.00	24H	25	AIR	4H	60	AIR							POTTING
SILASTIC 731 RTV SEALANT	GSFC0575	DCC	1.39	0.38		24H	25	AIR										SEALANT
SILASTIC 734 ONE PART SILICONE	GSC15669	DCC	1.64	0.45	0.01	7D	25	AIR										ADHESIVE
SILASTIC 736 ONE PART RED SILICONE	GSC13532	DCC	2.03	0.45	0.01	7D	25	AIR										ADHESIVE
SILASTIC 738 ONE PART NON-CORROSIVE SILICONE	GSC13798	DCC	2.24	0.57	0.00	7D	25	AIR										ADH-SEALANT
SILASTIC 738 ONE PART NON-CORROSIVE SILICONE	GSFC4230	DCC	1.63	0.51		72H	25	AIR										ADH-SEALANT
SILASTIC 75 SILICONE	GSFC0302	DCC	1.16	0.22														O-RING
SILASTIC 75 SILICONE	GSFC0419	DCC	0.29	0.09		3H	204	AIR										VALVE SEAT
SILASTIC 881/CAT AS 14.2/.55 BW SILICONE	GSFC1423	DCC	1.63	0.43		90M	38	AIR										SILICONE
SILASTIC 916	GSFC0060	DCC	0.40	0.00		24H	249	AIR										SILICONE
SILASTIC 916 GASKET	GSFC7148	DCC	0.86	0.30	0.02													GASKET
SILASTIC E A/B AS 10/1 BW WHITE SILICONE	GSC10664	DCC	2.08	0.71	0.05	7D	25	AIR										POTTING
SILASTIC E A/B AS 10/1 BW WHITE SILICONE	GSC25861	DCC	2.37	0.66	0.05	16H	25	AIR	4H	75	AIR							POTTING
SILASTIC E A/B AS 10/1 BW WHITE SILICONE DEVOL 100C	GSC10667	GSC	1.22	0.39	0.04	7D	25	AIR										POTTING
SILASTIC HV 25787-V RED SILICONE RUBBER	GSC30316	DOW	0.06	0.02	0.03													INSULATION
SILASTIC HV 37088-V RED SILICONE RUBBER/CREPE RED	GSC30325	DOW	0.08	0.00	0.05													INSULATION
SILASTIC J A/B AS 10/1 BW GREEN SILICONE	GSC25858	DCC	1.12	0.38	0.05	16H	25	AIR	4H	75	AIR							POTTING
SILASTIC LT-40 SILICON RUBBER RED	GSC22996	DOW	0.27	0.14	0.02	4H	200	AIR										ELASTOMER
SILASTIC LT-40/STI-V SILICONE RED	GSC23415	DCC	0.95	0.44	0.05	48H	90	E-11										DAMPER
SILASTIC LT-40/STI-V SILICONE RED	GSC23418	DCC	0.07	0.02	0.04	25H	225	AIR										DAMPER
SILASTIC LT-40/STI-V SILICONE RED	GSC23421	DCC	1.56	0.45	0.04													DAMPER
SILASTIC LT-40/STI-V SILICONE RED	GSC23451	DCC	0.05	0.00	0.03	24H	200	E-2	24H	220	E-2							DAMPER
SILASTIC NEW GP 50 RED SILICONE RUBBER	GSC28285	DCC	0.61	0.15	0.07	16H	200	AIR										ELASTOMER
SILASTIC NEW GP 50 RED SILICONE RUBBER	GSC28342	DCC	0.23	0.05	0.08	16H 	200	AIR	8H	200	AIR							ELASTOMER
SILASTIC S-6508U/TS-50 AS 100/1.4 BW SILICONE	GSFC4618	DCC	0.35	0.13		1H	250	AIR										ELASTOMER
SILASTOMER 9161/CAT N9162 AS 100/4 BW WHITE RUBBER	GSFC6947	EML	1.58	0.24	0.02	6D	25	AIR										POTTING
SILBRADE SILICONE RUBBER TUBING REINFORCED WHITE	GSC22750	NEA	1.17	0.33	0.09													TUBING
SILBRADE SILICONE RUBBER TUBING REINFORCED WHITE	GSC22846	NEA	0.33	0.16	0.05	24H	175	AIR										TUBING
SILCOSET 152 PRIMER/F	GSC10643	ICA	3.30	0.09	1.06	7D	25	AIR										PRIMER
SILCOSET 152 WHITE SILICONE	GSC10568	ICA	2.08	0.55	0.00	7D	25	AIR	3H	60	AIR							ADHESIVE
SILICONE (UNSUPPORTED) COLOR GREY. MATERIALS GUIDE BULLETIN 120; PART # WF	GSC29878	KKH	0.63	0.27	0.05													CLAMP SUPPORT
SILICONE (UNSUPPORTED) COLOR GREY. MATERIALS GUIDE BULLETIN 120; PART # WF	GSC29881	KKH	0.28	0.15	0.04	24H	200	AIR										CLAMP SUPPORT
SILICONE CLAMP CUSHION CPND 940-C-3111	GSC21103	KRC	0.42	0.25	0.03													CUSHION
SILICONE CLAMP CUSHION CPND 940-C-3111	GSC21106	KRC	0.06	0.02	0.02	24H	250	N2										CUSHION
SILICONE CLAMP CUSHION CPND 940-C-3111	GSC21109	KRC	0.05	0.01	0.02	48H	250	N2										CUSHION
SILICONE FROM CLAMP (SPEC TA2417 NASA - CLEANED AND DEGREASED	GSC31801	ZZZ	0.36	0.10	0.08													ELASTOMER
SILICONE FROM THE EADS/ASTRIUM FLAT RECTANGULAR CONNECTOR	GSC29926	EEE	0.30	0.10	0.01													WIRE SUPPORT
SILICONE GASKET CONNECTOR	GSC29986	VCO	1.07	0.41	0.01													GASKET
SILICONE GREASE FSN 6850-00-294-0860	GSC19801	ZZZ	1.25	0.52	0.08													LUBRICANT
SILICONE INSULATING TUBING	GSC31237	UNK	0.66	0.31	0.08													ELECTRICAL INSULATION
SILICONE INSULATOR SO-1058-8913 RED	GSC12004	LCR	0.30	0.18	0.03	24H	125	AIR										INSULATOR
SILICONE INTERFACIAL SEAL	GSC32680	GLA	0.11	0.01	0.03													GASKET
SILICONE O-RING MIL ZZ-R-765 CL 2 RED	GSC18104	APR	0.77	0.16	0.26													O-RING
SILICONE O-RING MIL ZZ-R-765 CL 2 RED	GSC18106	APR	0.27	0.04	0.23	48H	200	AIR										O-RING
SILICONE O-RING MIL ZZ-R-765 CL 2B GRADE 50 RED	GSC22204	MIR	0.06	0.00	0.02	4.5H	232	AIR										O-RING
SILICONE O-RING, ELEMENT 3, VACUUM BAKED	GSC31981	TMP	0.41	0.12	0.14	48H	70	E-5										O-RING
